benchmark,model,task,base_task,equation,matched,sa1_round,n_matched,n_located,max_steps,source,source_file
llm-srbench,gpt-5-2,degen_selector1,degen_selector1,PO25,1,1,36,36,30,scan,logs/llm-srbench/degen_selector1/gpt-5-2/PO25.txt
llm-srbench,gpt-5-2,degen_selector1,degen_selector1,PO26,0,no_match,0,0,30,no_match,logs/llm-srbench/degen_selector1/gpt-5-2/PO26.txt
llm-srbench,gpt-5-2,degen_selector1,degen_selector1,PO27,0,no_match,0,0,30,no_match,logs/llm-srbench/degen_selector1/gpt-5-2/PO27.txt
llm-srbench,gpt-5-2,degen_selector1,degen_selector1,PO28,0,no_match,0,0,30,no_match,logs/llm-srbench/degen_selector1/gpt-5-2/PO28.txt
llm-srbench,gpt-5-2,degen_selector1,degen_selector1,PO29,0,no_match,0,0,30,no_match,logs/llm-srbench/degen_selector1/gpt-5-2/PO29.txt
llm-srbench,gpt-5-2,degen_selector1,degen_selector1,PO33,1,1,20,20,30,scan,logs/llm-srbench/degen_selector1/gpt-5-2/PO33.txt
llm-srbench,gpt-5-2,degen_selector1,degen_selector1,PO34,0,no_match,0,0,30,no_match,logs/llm-srbench/degen_selector1/gpt-5-2/PO34.txt
llm-srbench,gpt-5-2,degen_selector1,degen_selector1,PO42,0,no_match,0,0,30,no_match,logs/llm-srbench/degen_selector1/gpt-5-2/PO42.txt
llm-srbench,gpt-5-2,degen_selector1,degen_selector1,PO43,0,no_match,0,0,30,no_match,logs/llm-srbench/degen_selector1/gpt-5-2/PO43.txt
llm-srbench,gpt-5-2,degen_selector1,degen_selector1,MatSci0,1,11,33,33,30,scan,logs/llm-srbench/degen_selector1/gpt-5-2/MatSci0.txt
llm-srbench,gpt-5-2,degen_selector1,degen_selector1,MatSci10,0,no_match,0,0,30,no_match,logs/llm-srbench/degen_selector1/gpt-5-2/MatSci10.txt
llm-srbench,gpt-5-2,degen_selector1,degen_selector1,MatSci11,1,9,36,36,30,scan,logs/llm-srbench/degen_selector1/gpt-5-2/MatSci11.txt
llm-srbench,gpt-5-2,degen_selector1,degen_selector1,MatSci12,0,no_match,0,0,30,no_match,logs/llm-srbench/degen_selector1/gpt-5-2/MatSci12.txt
llm-srbench,gpt-5-2,degen_selector1,degen_selector1,MatSci13,0,no_match,0,0,30,no_match,logs/llm-srbench/degen_selector1/gpt-5-2/MatSci13.txt
llm-srbench,gpt-5-2,degen_selector1,degen_selector1,MatSci1,1,25,1,1,30,scan,logs/llm-srbench/degen_selector1/gpt-5-2/MatSci1.txt
llm-srbench,gpt-5-2,degen_selector1,degen_selector1,MatSci2,0,no_match,0,0,30,no_match,logs/llm-srbench/degen_selector1/gpt-5-2/MatSci2.txt
llm-srbench,gpt-5-2,degen_selector1,degen_selector1,MatSci3,1,1,2,2,30,scan,logs/llm-srbench/degen_selector1/gpt-5-2/MatSci3.txt
llm-srbench,gpt-5-2,degen_selector1,degen_selector1,MatSci4,0,no_match,0,0,30,no_match,logs/llm-srbench/degen_selector1/gpt-5-2/MatSci4.txt
llm-srbench,gpt-5-2,degen_selector1,degen_selector1,MatSci5,0,no_match,0,0,30,no_match,logs/llm-srbench/degen_selector1/gpt-5-2/MatSci5.txt
llm-srbench,gpt-5-2,degen_selector1,degen_selector1,MatSci6,1,0,10,10,30,scan,logs/llm-srbench/degen_selector1/gpt-5-2/MatSci6.txt
llm-srbench,gpt-5-2,degen_selector1,degen_selector1,MatSci7,0,no_match,0,0,30,no_match,logs/llm-srbench/degen_selector1/gpt-5-2/MatSci7.txt
llm-srbench,gpt-5-2,degen_selector1,degen_selector1,MatSci8,1,21,1,1,30,scan,logs/llm-srbench/degen_selector1/gpt-5-2/MatSci8.txt
llm-srbench,gpt-5-2,degen_selector1,degen_selector1,MatSci9,1,1,17,17,30,scan,logs/llm-srbench/degen_selector1/gpt-5-2/MatSci9.txt
llm-srbench,gpt-5-2,degen_selector1,degen_selector1,PO11,0,no_match,0,0,30,no_match,logs/llm-srbench/degen_selector1/gpt-5-2/PO11.txt
llm-srbench,gpt-5-2,degen_selector1,degen_selector1,PO12,0,no_match,0,0,30,no_match,logs/llm-srbench/degen_selector1/gpt-5-2/PO12.txt
llm-srbench,gpt-5-2,degen_selector1,degen_selector1,PO13,0,no_match,0,0,30,no_match,logs/llm-srbench/degen_selector1/gpt-5-2/PO13.txt
llm-srbench,gpt-5-2,degen_selector1,degen_selector1,PO14,0,no_match,0,0,30,no_match,logs/llm-srbench/degen_selector1/gpt-5-2/PO14.txt
llm-srbench,gpt-5-2,degen_selector1,degen_selector1,PO15,0,no_match,0,0,30,no_match,logs/llm-srbench/degen_selector1/gpt-5-2/PO15.txt
llm-srbench,gpt-5-2,degen_selector1,degen_selector1,PO16,0,no_match,0,0,30,no_match,logs/llm-srbench/degen_selector1/gpt-5-2/PO16.txt
llm-srbench,gpt-5-2,degen_selector1,degen_selector1,PO17,0,no_match,0,0,30,no_match,logs/llm-srbench/degen_selector1/gpt-5-2/PO17.txt
llm-srbench,gpt-5-2,degen_selector1,degen_selector1,PO18,1,1,76,76,30,scan,logs/llm-srbench/degen_selector1/gpt-5-2/PO18.txt
llm-srbench,gpt-5-2,degen_selector1,degen_selector1,PO19,1,21,53,53,30,scan,logs/llm-srbench/degen_selector1/gpt-5-2/PO19.txt
llm-srbench,gpt-5-2,degen_selector1,degen_selector1,PO20,0,no_match,0,0,30,no_match,logs/llm-srbench/degen_selector1/gpt-5-2/PO20.txt
llm-srbench,gpt-5-2,degen_selector1,degen_selector1,PO21,1,2,1,1,30,scan,logs/llm-srbench/degen_selector1/gpt-5-2/PO21.txt
llm-srbench,gpt-5-2,degen_selector1,degen_selector1,PO22,0,no_match,0,0,30,no_match,logs/llm-srbench/degen_selector1/gpt-5-2/PO22.txt
llm-srbench,gpt-5-2,degen_selector1,degen_selector1,PO26,1,4,2,2,30,scan,logs/llm-srbench/degen_selector1/gpt-5-2/PO26.txt
llm-srbench,gpt-5-2,degen_selector1,degen_selector1,PO27,0,no_match,0,0,30,no_match,logs/llm-srbench/degen_selector1/gpt-5-2/PO27.txt
llm-srbench,gpt-5-2,degen_selector1,degen_selector1,PO28,0,no_match,0,0,30,no_match,logs/llm-srbench/degen_selector1/gpt-5-2/PO28.txt
llm-srbench,gpt-5-2,degen_selector1,degen_selector1,PO29,1,4,11,11,30,scan,logs/llm-srbench/degen_selector1/gpt-5-2/PO29.txt
llm-srbench,gpt-5-2,degen_selector1,degen_selector1,PO30,0,no_match,0,0,30,no_match,logs/llm-srbench/degen_selector1/gpt-5-2/PO30.txt
llm-srbench,gpt-5-2,degen_selector1,degen_selector1,PO31,1,14,50,40,30,scan,logs/llm-srbench/degen_selector1/gpt-5-2/PO31.txt
llm-srbench,gpt-5-2,degen_selector1,degen_selector1,PO32,0,no_match,0,0,30,no_match,logs/llm-srbench/degen_selector1/gpt-5-2/PO32.txt
llm-srbench,gpt-5-2,degen_selector1,degen_selector1,PO35,0,no_match,0,0,30,no_match,logs/llm-srbench/degen_selector1/gpt-5-2/PO35.txt
llm-srbench,gpt-5-2,degen_selector1,degen_selector1,PO36,1,12,55,55,30,scan,logs/llm-srbench/degen_selector1/gpt-5-2/PO36.txt
llm-srbench,gpt-5-2,degen_selector1,degen_selector1,PO37,1,4,25,25,30,scan,logs/llm-srbench/degen_selector1/gpt-5-2/PO37.txt
llm-srbench,gpt-5-2,degen_selector1,degen_selector1,PO38,0,no_match,0,0,30,no_match,logs/llm-srbench/degen_selector1/gpt-5-2/PO38.txt
llm-srbench,gpt-5-2,degen_selector1,degen_selector1,PO39,1,2,32,32,30,scan,logs/llm-srbench/degen_selector1/gpt-5-2/PO39.txt
llm-srbench,gpt-5-2,degen_selector1,degen_selector1,PO40,0,no_match,0,0,30,no_match,logs/llm-srbench/degen_selector1/gpt-5-2/PO40.txt
llm-srbench,gpt-5-2,degen_selector1,degen_selector1,PO41,0,no_match,0,0,30,no_match,logs/llm-srbench/degen_selector1/gpt-5-2/PO41.txt
llm-srbench,gpt-5-2,degen_selector1,degen_selector1,BPG19,1,1,63,63,30,scan,logs/llm-srbench/degen_selector1/gpt-5-2/BPG19.txt
llm-srbench,gpt-5-2,degen_selector1,degen_selector1,BPG20,0,no_match,0,0,30,no_match,logs/llm-srbench/degen_selector1/gpt-5-2/BPG20.txt
llm-srbench,gpt-5-2,degen_selector1,degen_selector1,BPG21,1,1,3,3,30,scan,logs/llm-srbench/degen_selector1/gpt-5-2/BPG21.txt
llm-srbench,gpt-5-2,degen_selector1,degen_selector1,BPG22,0,no_match,0,0,30,no_match,logs/llm-srbench/degen_selector1/gpt-5-2/BPG22.txt
llm-srbench,gpt-5-2,degen_selector1,degen_selector1,BPG23,1,1,37,37,30,scan,logs/llm-srbench/degen_selector1/gpt-5-2/BPG23.txt
llm-srbench,gpt-5-2,degen_selector1,degen_selector1,CRK0,0,no_match,0,0,30,no_match,logs/llm-srbench/degen_selector1/gpt-5-2/CRK0.txt
llm-srbench,gpt-5-2,degen_selector1,degen_selector1,CRK10,0,no_match,0,0,30,no_match,logs/llm-srbench/degen_selector1/gpt-5-2/CRK10.txt
llm-srbench,gpt-5-2,degen_selector1,degen_selector1,CRK1,1,1,29,29,30,scan,logs/llm-srbench/degen_selector1/gpt-5-2/CRK1.txt
llm-srbench,gpt-5-2,degen_selector1,degen_selector1,CRK2,1,1,1,1,30,scan,logs/llm-srbench/degen_selector1/gpt-5-2/CRK2.txt
llm-srbench,gpt-5-2,degen_selector1,degen_selector1,CRK3,0,no_match,0,0,30,no_match,logs/llm-srbench/degen_selector1/gpt-5-2/CRK3.txt
llm-srbench,gpt-5-2,degen_selector1,degen_selector1,CRK4,1,1,46,46,30,scan,logs/llm-srbench/degen_selector1/gpt-5-2/CRK4.txt
llm-srbench,gpt-5-2,degen_selector1,degen_selector1,CRK5,1,1,2,2,30,scan,logs/llm-srbench/degen_selector1/gpt-5-2/CRK5.txt
llm-srbench,gpt-5-2,degen_selector1,degen_selector1,CRK6,0,no_match,0,0,30,no_match,logs/llm-srbench/degen_selector1/gpt-5-2/CRK6.txt
llm-srbench,gpt-5-2,degen_selector1,degen_selector1,CRK7,1,2,45,45,30,scan,logs/llm-srbench/degen_selector1/gpt-5-2/CRK7.txt
llm-srbench,gpt-5-2,degen_selector1,degen_selector1,CRK8,0,no_match,0,0,30,no_match,logs/llm-srbench/degen_selector1/gpt-5-2/CRK8.txt
llm-srbench,gpt-5-2,degen_selector1,degen_selector1,CRK9,1,1,2,2,30,scan,logs/llm-srbench/degen_selector1/gpt-5-2/CRK9.txt
llm-srbench,gpt-5-2,degen_selector1,degen_selector1,BPG0,1,1,44,44,30,scan,logs/llm-srbench/degen_selector1/gpt-5-2/BPG0.txt
llm-srbench,gpt-5-2,degen_selector1,degen_selector1,BPG10,1,0,52,52,30,scan,logs/llm-srbench/degen_selector1/gpt-5-2/BPG10.txt
llm-srbench,gpt-5-2,degen_selector1,degen_selector1,BPG11,1,2,50,50,30,scan,logs/llm-srbench/degen_selector1/gpt-5-2/BPG11.txt
llm-srbench,gpt-5-2,degen_selector1,degen_selector1,BPG12,1,0,48,48,30,scan,logs/llm-srbench/degen_selector1/gpt-5-2/BPG12.txt
llm-srbench,gpt-5-2,degen_selector1,degen_selector1,BPG13,0,no_match,0,0,30,no_match,logs/llm-srbench/degen_selector1/gpt-5-2/BPG13.txt
llm-srbench,gpt-5-2,degen_selector1,degen_selector1,BPG14,0,no_match,0,0,30,no_match,logs/llm-srbench/degen_selector1/gpt-5-2/BPG14.txt
llm-srbench,gpt-5-2,degen_selector1,degen_selector1,BPG15,1,1,50,50,30,scan,logs/llm-srbench/degen_selector1/gpt-5-2/BPG15.txt
llm-srbench,gpt-5-2,degen_selector1,degen_selector1,BPG16,1,1,40,40,30,scan,logs/llm-srbench/degen_selector1/gpt-5-2/BPG16.txt
llm-srbench,gpt-5-2,degen_selector1,degen_selector1,BPG17,1,1,12,12,30,scan,logs/llm-srbench/degen_selector1/gpt-5-2/BPG17.txt
llm-srbench,gpt-5-2,degen_selector1,degen_selector1,BPG18,1,1,39,39,30,scan,logs/llm-srbench/degen_selector1/gpt-5-2/BPG18.txt
llm-srbench,gpt-5-2,degen_selector1,degen_selector1,BPG1,1,1,46,46,30,scan,logs/llm-srbench/degen_selector1/gpt-5-2/BPG1.txt
llm-srbench,gpt-5-2,degen_selector1,degen_selector1,BPG2,1,2,7,7,30,scan,logs/llm-srbench/degen_selector1/gpt-5-2/BPG2.txt
llm-srbench,gpt-5-2,degen_selector1,degen_selector1,BPG3,0,no_match,0,0,30,no_match,logs/llm-srbench/degen_selector1/gpt-5-2/BPG3.txt
llm-srbench,gpt-5-2,degen_selector1,degen_selector1,BPG4,0,no_match,0,0,30,no_match,logs/llm-srbench/degen_selector1/gpt-5-2/BPG4.txt
llm-srbench,gpt-5-2,degen_selector1,degen_selector1,BPG5,1,1,80,80,30,scan,logs/llm-srbench/degen_selector1/gpt-5-2/BPG5.txt
llm-srbench,gpt-5-2,degen_selector1,degen_selector1,BPG6,1,1,34,34,30,scan,logs/llm-srbench/degen_selector1/gpt-5-2/BPG6.txt
llm-srbench,gpt-5-2,degen_selector1,degen_selector1,BPG7,1,2,62,62,30,scan,logs/llm-srbench/degen_selector1/gpt-5-2/BPG7.txt
llm-srbench,gpt-5-2,degen_selector1,degen_selector1,BPG8,1,1,56,56,30,scan,logs/llm-srbench/degen_selector1/gpt-5-2/BPG8.txt
llm-srbench,gpt-5-2,degen_selector1,degen_selector1,BPG9,0,no_match,0,0,30,no_match,logs/llm-srbench/degen_selector1/gpt-5-2/BPG9.txt
llm-srbench,gpt-5-2,degen_selector1,degen_selector1,MatSci16,0,no_match,0,0,30,no_match,logs/llm-srbench/degen_selector1/gpt-5-2/MatSci16.txt
llm-srbench,gpt-5-2,degen_selector1,degen_selector1,MatSci22,1,4,23,23,30,scan,logs/llm-srbench/degen_selector1/gpt-5-2/MatSci22.txt
llm-srbench,gpt-5-2,degen_selector1,degen_selector1,MatSci23,0,no_match,0,0,30,no_match,logs/llm-srbench/degen_selector1/gpt-5-2/MatSci23.txt
llm-srbench,gpt-5-2,degen_selector1,degen_selector1,MatSci25,0,no_match,0,0,30,no_match,logs/llm-srbench/degen_selector1/gpt-5-2/MatSci25.txt
llm-srbench,gpt-5-2,degen_selector1,degen_selector1,MatSci28,0,no_match,0,0,30,no_match,logs/llm-srbench/degen_selector1/gpt-5-2/MatSci28.txt
llm-srbench,gpt-5-2,degen_selector1,degen_selector1,MatSci16,0,no_match,0,0,30,no_match,logs/llm-srbench/degen_selector1/gpt-5-2/MatSci16.txt
llm-srbench,gpt-5-2,degen_selector1,degen_selector1,MatSci25,0,no_match,0,0,30,no_match,logs/llm-srbench/degen_selector1/gpt-5-2/MatSci25.txt
llm-srbench,gpt-5-2,degen_selector1,degen_selector1,PO0,0,no_match,0,0,30,no_match,logs/llm-srbench/degen_selector1/gpt-5-2/PO0.txt
llm-srbench,gpt-5-2,degen_selector1,degen_selector1,PO1,1,1,57,57,30,scan,logs/llm-srbench/degen_selector1/gpt-5-2/PO1.txt
llm-srbench,gpt-5-2,degen_selector1,degen_selector1,PO2,0,no_match,0,0,30,no_match,logs/llm-srbench/degen_selector1/gpt-5-2/PO2.txt
llm-srbench,gpt-5-2,degen_selector1,degen_selector1,PO3,1,2,2,2,30,scan,logs/llm-srbench/degen_selector1/gpt-5-2/PO3.txt
llm-srbench,gpt-5-2,degen_selector1,degen_selector1,PO10,1,27,7,7,30,scan,logs/llm-srbench/degen_selector1/gpt-5-2/PO10.txt
llm-srbench,gpt-5-2,degen_selector1,degen_selector1,PO4,0,no_match,0,0,30,no_match,logs/llm-srbench/degen_selector1/gpt-5-2/PO4.txt
llm-srbench,gpt-5-2,degen_selector1,degen_selector1,PO5,0,no_match,0,0,30,no_match,logs/llm-srbench/degen_selector1/gpt-5-2/PO5.txt
llm-srbench,gpt-5-2,degen_selector1,degen_selector1,PO6,1,4,40,40,30,scan,logs/llm-srbench/degen_selector1/gpt-5-2/PO6.txt
llm-srbench,gpt-5-2,degen_selector1,degen_selector1,PO7,0,no_match,0,0,30,no_match,logs/llm-srbench/degen_selector1/gpt-5-2/PO7.txt
llm-srbench,gpt-5-2,degen_selector1,degen_selector1,PO8,0,no_match,0,0,30,no_match,logs/llm-srbench/degen_selector1/gpt-5-2/PO8.txt
llm-srbench,gpt-5-2,degen_selector1,degen_selector1,PO9,0,no_match,0,0,30,no_match,logs/llm-srbench/degen_selector1/gpt-5-2/PO9.txt
llm-srbench,opus-4-6,degen_selector1,degen_selector1,CRK0,0,no_match,0,0,30,no_match,logs/llm-srbench/degen_selector1/opus-4-6/CRK0.txt
llm-srbench,opus-4-6,degen_selector1,degen_selector1,CRK10,1,1,7,7,30,scan,logs/llm-srbench/degen_selector1/opus-4-6/CRK10.txt
llm-srbench,opus-4-6,degen_selector1,degen_selector1,CRK11,0,no_match,0,0,30,no_match,logs/llm-srbench/degen_selector1/opus-4-6/CRK11.txt
llm-srbench,opus-4-6,degen_selector1,degen_selector1,CRK12,1,2,37,37,30,scan,logs/llm-srbench/degen_selector1/opus-4-6/CRK12.txt
llm-srbench,opus-4-6,degen_selector1,degen_selector1,CRK13,1,1,11,11,30,scan,logs/llm-srbench/degen_selector1/opus-4-6/CRK13.txt
llm-srbench,opus-4-6,degen_selector1,degen_selector1,CRK14,1,4,16,15,30,scan,logs/llm-srbench/degen_selector1/opus-4-6/CRK14.txt
llm-srbench,opus-4-6,degen_selector1,degen_selector1,CRK15,1,3,11,11,30,scan,logs/llm-srbench/degen_selector1/opus-4-6/CRK15.txt
llm-srbench,opus-4-6,degen_selector1,degen_selector1,CRK16,1,1,67,67,30,scan,logs/llm-srbench/degen_selector1/opus-4-6/CRK16.txt
llm-srbench,opus-4-6,degen_selector1,degen_selector1,CRK17,1,1,58,58,30,scan,logs/llm-srbench/degen_selector1/opus-4-6/CRK17.txt
llm-srbench,opus-4-6,degen_selector1,degen_selector1,CRK18,1,1,13,13,30,scan,logs/llm-srbench/degen_selector1/opus-4-6/CRK18.txt
llm-srbench,opus-4-6,degen_selector1,degen_selector1,CRK19,1,4,2,2,30,scan,logs/llm-srbench/degen_selector1/opus-4-6/CRK19.txt
llm-srbench,opus-4-6,degen_selector1,degen_selector1,CRK1,1,2,2,2,30,scan,logs/llm-srbench/degen_selector1/opus-4-6/CRK1.txt
llm-srbench,opus-4-6,degen_selector1,degen_selector1,CRK20,1,6,5,5,30,scan,logs/llm-srbench/degen_selector1/opus-4-6/CRK20.txt
llm-srbench,opus-4-6,degen_selector1,degen_selector1,CRK21,1,3,27,20,30,scan,logs/llm-srbench/degen_selector1/opus-4-6/CRK21.txt
llm-srbench,opus-4-6,degen_selector1,degen_selector1,CRK22,0,no_match,0,0,30,no_match,logs/llm-srbench/degen_selector1/opus-4-6/CRK22.txt
llm-srbench,opus-4-6,degen_selector1,degen_selector1,CRK23,1,2,2,2,30,scan,logs/llm-srbench/degen_selector1/opus-4-6/CRK23.txt
llm-srbench,opus-4-6,degen_selector1,degen_selector1,CRK24,1,2,1,1,30,scan,logs/llm-srbench/degen_selector1/opus-4-6/CRK24.txt
llm-srbench,opus-4-6,degen_selector1,degen_selector1,CRK25,1,1,27,27,30,scan,logs/llm-srbench/degen_selector1/opus-4-6/CRK25.txt
llm-srbench,opus-4-6,degen_selector1,degen_selector1,CRK26,0,no_match,0,0,30,no_match,logs/llm-srbench/degen_selector1/opus-4-6/CRK26.txt
llm-srbench,opus-4-6,degen_selector1,degen_selector1,CRK2,1,1,3,3,30,scan,logs/llm-srbench/degen_selector1/opus-4-6/CRK2.txt
llm-srbench,opus-4-6,degen_selector1,degen_selector1,CRK3,0,no_match,0,0,30,no_match,logs/llm-srbench/degen_selector1/opus-4-6/CRK3.txt
llm-srbench,opus-4-6,degen_selector1,degen_selector1,CRK4,1,1,53,53,30,scan,logs/llm-srbench/degen_selector1/opus-4-6/CRK4.txt
llm-srbench,opus-4-6,degen_selector1,degen_selector1,CRK5,1,8,36,36,30,scan,logs/llm-srbench/degen_selector1/opus-4-6/CRK5.txt
llm-srbench,opus-4-6,degen_selector1,degen_selector1,CRK6,0,no_match,0,0,30,no_match,logs/llm-srbench/degen_selector1/opus-4-6/CRK6.txt
llm-srbench,opus-4-6,degen_selector1,degen_selector1,CRK7,1,2,53,53,30,scan,logs/llm-srbench/degen_selector1/opus-4-6/CRK7.txt
llm-srbench,opus-4-6,degen_selector1,degen_selector1,CRK8,1,1,9,9,30,scan,logs/llm-srbench/degen_selector1/opus-4-6/CRK8.txt
llm-srbench,opus-4-6,degen_selector1,degen_selector1,CRK9,0,no_match,0,0,30,no_match,logs/llm-srbench/degen_selector1/opus-4-6/CRK9.txt
llm-srbench,opus-4-6,degen_selector1,degen_selector1,MatSci11,1,1,41,41,30,scan,logs/llm-srbench/degen_selector1/opus-4-6/MatSci11.txt
llm-srbench,opus-4-6,degen_selector1,degen_selector1,MatSci12,0,no_match,0,0,30,no_match,logs/llm-srbench/degen_selector1/opus-4-6/MatSci12.txt
llm-srbench,opus-4-6,degen_selector1,degen_selector1,MatSci13,0,no_match,0,0,30,no_match,logs/llm-srbench/degen_selector1/opus-4-6/MatSci13.txt
llm-srbench,opus-4-6,degen_selector1,degen_selector1,MatSci14,1,0,77,77,30,scan,logs/llm-srbench/degen_selector1/opus-4-6/MatSci14.txt
llm-srbench,opus-4-6,degen_selector1,degen_selector1,MatSci16,0,no_match,0,0,30,no_match,logs/llm-srbench/degen_selector1/opus-4-6/MatSci16.txt
